sample_id,client_id,activity,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,heart_rate,temperature
0,0,sitting,-0.0775,10.1198,-0.5659,0.0048,-0.0964,-0.0801,15.6399,4.552,-38.0773,74.924,36.1743
1,0,running,1.4912,8.7771,0.8806,0.4665,0.2329,0.5095,18.4943,3.9775,-41.9803,152.1363,37.5063
2,0,cycling,0.0349,8.7839,0.5677,0.3295,0.2669,0.2138,15.7758,5.5732,-41.7292,121.7177,37.585
3,0,sitting,-0.1883,9.5869,0.2796,-0.0068,-0.0338,-0.1337,22.8003,5.544,-39.9394,74.7354,36.0738
4,0,cycling,0.8131,8.8297,0.5492,0.2681,0.2742,0.0972,22.8997,4.2647,-43.8333,117.922,37.4582
5,0,cycling,0.4823,9.4588,0.2602,0.2568,0.1322,0.1747,19.6726,1.6112,-43.8995,125.2943,37.3786
6,0,running,1.3763,8.714,1.1056,0.5286,0.2385,0.4887,19.729,5.6472,-34.7679,153.4171,37.7178
7,0,cycling,0.2091,9.5707,0.5883,0.3122,0.1446,0.114,20.0721,5.2409,-39.1106,111.0375,37.358
8,0,sitting,0.1274,9.6321,-0.0329,0.0716,0.0899,-0.0322,22.4037,6.9876,-40.486,72.3825,36.185
9,0,lying,-0.2253,0.1356,9.9398,-0.0095,0.0638,0.0193,22.3642,5.3109,-38.1863,59.4513,36.1238
10,0,running,1.4539,9.1916,0.946,0.5028,0.3256,0.312,19.3251,6.1132,-40.2994,148.786,37.3728
11,0,cycling,0.85,9.4426,0.1344,0.321,0.1275,0.2452,18.2838,5.4,-39.0662,128.7758,36.788
12,0,walking,0.4895,9.209,-0.1494,0.0591,-0.0055,0.0946,20.9597,1.9423,-39.6337,97.1957,37.0294
13,0,running,1.2907,9.3333,0.9979,0.4687,0.3539,0.3987,23.2603,3.1188,-40.9379,149.5514,37.3367
14,0,walking,0.5403,9.1965,-0.2164,0.0516,0.1666,0.1339,19.5852,5.9209,-37.7793,95.5746,36.7932
15,0,running,0.8667,8.8343,0.9469,0.5729,0.3806,0.3927,20.3441,7.3542,-34.0296,155.6953,37.6879
16,0,lying,0.3925,0.5445,9.5962,0.0046,-0.0787,-0.0532,19.984,4.3866,-39.1893,65.5956,36.5777
17,0,standing,-0.2639,9.9432,0.1,0.0472,0.0067,0.109,20.1988,0.8882,-40.9176,68.8924,36.3223
18,0,sitting,-0.1071,10.095,0.486,-0.0338,-0.0039,0.0959,21.4277,7.5552,-41.7795,71.3699,36.6791
19,0,running,1.5925,8.7237,0.3601,0.5002,0.2903,0.3805,22.9801,4.3696,-38.1918,152.3346,37.4804
20,0,cycling,-0.089,9.3786,0.3913,0.3405,0.1848,0.2341,17.4259,7.1807,-41.4996,117.9585,37.4391
