sample_id,client_id,activity,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,heart_rate,temperature
0,4,standing,-0.0818,9.7039,-0.0252,-0.0062,-0.0209,0.0157,21.3601,5.2319,-36.5567,80.9316,36.6769
1,4,sitting,-0.2982,9.8878,0.3091,0.071,-0.0098,-0.026,19.3581,6.1156,-39.8303,68.8605,36.8822
2,4,running,1.0522,8.9067,1.1973,0.4958,0.3666,0.4366,22.0569,1.7782,-39.6961,154.2143,37.2973
3,4,lying,-0.0244,0.1422,9.8355,0.0191,-0.021,-0.0052,20.0783,5.4417,-41.6544,63.4136,36.3044
4,4,cycling,0.4741,9.1989,0.7755,0.4161,0.2259,0.1118,21.1275,5.4374,-40.0107,118.6386,36.9663
5,4,standing,-0.1024,9.6339,0.0392,0.0032,0.0358,-0.0668,19.465,3.5219,-43.4381,74.9314,36.3011
6,4,cycling,0.623,8.7283,-0.0869,0.2263,0.2618,0.1828,19.3051,5.6248,-38.0267,116.4271,37.0623
7,4,lying,-0.2675,0.5246,9.4707,0.0466,-0.0378,-0.0299,21.1917,7.1059,-38.9269,54.1588,36.619
8,4,running,1.7308,9.0325,1.3947,0.4591,0.2992,0.3937,21.0388,6.2167,-38.0128,149.0948,37.3292
9,4,standing,0.0078,9.8764,0.081,0.01,0.0389,-0.0185,18.8019,6.4847,-37.1228,64.8924,37.0151
10,4,cycling,0.0746,9.5828,-0.0058,0.3205,0.2071,0.1795,19.7271,0.7246,-40.4396,122.2037,37.1074
11,4,running,1.2726,9.5756,0.881,0.4538,0.2558,0.4718,19.0202,4.2315,-39.6825,153.2144,37.2374
12,4,cycling,0.2197,8.5159,-0.2092,0.2821,0.1928,0.0873,18.4855,9.2402,-39.1834,118.438,36.9982
13,4,standing,-0.5088,10.2374,-0.085,-0.0201,0.0741,0.0112,18.4636,5.9269,-38.0093,87.1165,36.735
14,4,running,0.8438,8.5833,0.4054,0.4862,0.2262,0.4371,21.9593,2.8673,-40.3401,139.6804,37.467
15,4,cycling,0.67,8.9686,0.5886,0.3602,0.208,0.1651,19.4604,7.2093,-39.7692,113.3433,37.3802
16,4,walking,0.2657,9.9076,0.8458,0.1279,0.168,0.11,22.6524,2.9332,-39.0535,93.4955,36.8142
17,4,running,1.3434,8.8308,0.392,0.4523,0.3127,0.4585,20.3897,6.4437,-41.3093,152.0231,37.6467
