sample_id,client_id,activity,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,heart_rate,temperature
0,2,walking,0.6015,9.2841,0.2753,0.0382,0.0814,0.1091,20.9003,7.3217,-39.617,88.6028,36.6583
1,2,sitting,0.4158,9.8313,0.1525,-0.0445,-0.0359,0.0267,18.6129,5.7728,-42.5382,58.8362,36.4539
2,2,sitting,0.1443,9.6289,0.2438,-0.0243,0.01,-0.0079,18.4599,5.8312,-40.4185,70.5013,36.302
3,2,cycling,1.1147,9.1146,0.6312,0.2627,0.1776,0.0882,18.4953,5.0475,-42.0197,118.4069,36.8877
4,2,sitting,0.3255,10.1275,0.2399,0.0296,-0.0915,-0.0182,17.6192,5.3947,-40.338,74.3667,36.7066
5,2,walking,0.4925,9.0273,0.0081,0.1393,0.1191,0.1177,20.4268,7.8339,-38.6879,94.964,36.8992
6,2,cycling,0.418,9.1342,0.0086,0.2993,0.2809,0.1143,18.0586,4.5415,-38.6073,119.6422,37.1197
7,2,lying,-0.4114,-0.3111,9.7375,0.0531,-0.0491,-0.0364,21.9022,5.1277,-39.8784,62.7868,36.5265
8,2,cycling,0.2958,9.1407,0.4579,0.3248,0.2397,0.1954,20.9669,5.5622,-36.1556,127.0058,37.1024
9,2,walking,0.3043,9.1032,-0.1633,0.1196,-0.0072,0.1312,20.408,3.4592,-42.0386,87.4305,37.0662
10,2,lying,0.6504,-0.3535,9.5034,0.0177,-0.0148,-0.0609,18.7223,6.7339,-41.1614,59.1557,36.4375
11,2,cycling,0.3652,9.4551,-0.167,0.2923,0.3226,0.0835,22.2651,1.8735,-42.3811,117.0796,37.2524
12,2,sitting,-0.0257,10.0096,-0.0986,-0.0258,-0.0288,-0.0272,19.7017,6.094,-38.442,78.2598,36.4047
13,2,standing,0.0676,9.5824,-0.4036,-0.0403,-0.0725,0.015,19.3053,4.2978,-42.8197,67.6491,36.8383
14,2,lying,-0.1693,-0.0483,9.8747,0.0643,0.0262,0.0393,20.1011,3.6524,-36.1557,58.4525,36.1622
15,2,walking,0.0677,9.696,-0.4885,0.13,-0.0167,0.1748,21.2983,4.2443,-38.5345,94.2688,36.5919
16,2,lying,0.3492,-0.2812,10.3221,-0.0364,-0.1127,0.0727,19.6485,7.7255,-36.209,68.0829,36.0894
17,2,sitting,0.2431,10.2913,-0.3317,0.0671,0.0548,-0.0368,17.6007,4.5712,-41.2478,75.9189,36.4123
18,2,walking,0.4518,9.4956,-0.0808,0.023,0.0151,0.0878,19.6116,6.6971,-36.609,80.045,36.7025
19,2,running,1.312,8.8643,0.8006,0.5461,0.2455,0.3132,19.7908,1.8573,-41.3363,144.2926,37.7907
20,2,walking,0.5913,9.0933,0.249,0.1105,0.1369,0.1622,18.4094,2.0755,-38.7158,94.9613,36.8584
21,2,standing,-0.0496,9.6411,-0.6109,0.0124,0.0419,-0.0837,17.5938,2.9891,-43.5921,70.3228,36.6296
22,2,running,0.5059,8.8268,0.3752,0.5335,0.2834,0.4386,20.8445,4.1956,-46.0222,152.7966,37.5913
23,2,running,1.0972,8.8615,0.75,0.6374,0.3289,0.3393,21.5999,4.2678,-39.8665,147.6019,37.449
24,2,running,1.1822,8.3663,0.6941,0.5476,0.2165,0.4228,22.8068,5.1064,-41.7999,146.1107,37.6758
25,2,running,1.1293,8.9278,0.9858,0.4525,0.3621,0.4363,24.6924,0.4831,-38.156,154.2582,37.9866
26,2,standing,-0.1216,9.5119,0.066,0.0567,-0.084,-0.0147,19.724,5.9273,-39.0012,82.2152,36.7358
27,2,sitting,-0.6531,10.0819,-0.0418,-0.061,0.0679,-0.039,19.7141,4.9485,-37.9157,77.1288,36.6831
28,2,walking,0.6989,9.1281,-0.0724,0.1604,0.0663,0.1673,19.0187,4.3229,-39.8261,82.2146,36.8238
29,2,cycling,0.1607,9.0288,0.4802,0.2313,0.129,0.2443,17.0691,3.9161,-40.8383,118.3589,37.4205
30,2,standing,-0.4016,9.5186,0.0114,-0.0123,-0.009,-0.0553,19.1309,3.9184,-39.0852,70.406,36.4504
31,2,walking,0.3102,9.4156,0.3051,0.1266,0.0034,0.0855,20.0457,4.9621,-42.1851,93.1917,36.8088
32,2,running,1.2599,8.7758,0.641,0.5756,0.1971,0.3612,15.3319,4.1744,-42.3177,143.3002,37.291
33,2,walking,0.161,9.7073,0.4254,0.1017,0.0813,0.1164,20.5103,7.4067,-40.2583,88.5377,36.5545
34,2,walking,0.6568,9.6467,0.2068,0.0787,0.0151,0.1272,20.5572,4.4287,-38.8617,97.3615,36.2944
35,2,walking,0.7166,9.5946,-0.171,0.0811,0.0169,0.1494,18.2995,3.1244,-40.1162,79.4936,36.7249
36,2,standing,0.2673,9.5905,-0.2582,0.045,0.0078,0.0042,16.6136,3.7821,-42.7217,64.4149,36.8284
37,2,standing,0.359,9.9667,-0.0366,0.0277,0.0778,0.0659,20.382,4.1336,-39.389,69.2488,36.31
38,2,walking,0.4676,9.419,0.0434,0.0487,0.0779,0.1102,18.1389,5.0318,-38.4282,82.6768,36.8097
39,2,lying,-0.064,-0.0413,9.6398,0.0353,0.0655,0.0134,20.2071,8.6638,-41.3432,63.2196,36.584
40,2,cycling,0.1138,9.145,0.062,0.3152,0.117,0.0961,21.0452,4.2385,-37.6218,119.3195,37.166
41,2,walking,0.1804,9.8408,0.2754,0.0744,0.1124,0.2031,14.8261,5.3946,-37.5408,82.8908,36.8683
