sample_id,client_id,activity,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,heart_rate,temperature
0,1,walking,0.7002,9.0753,0.1164,0.094,0.1102,0.1106,19.7853,7.7643,-38.6816,88.1606,36.6395
1,1,cycling,0.3449,9.4192,0.368,0.2963,0.1788,0.1604,16.9488,4.3055,-41.7073,120.2194,36.9883
2,1,running,1.9994,9.1579,1.2372,0.4856,0.3726,0.3711,19.5628,4.8291,-37.6734,145.9061,37.711
3,1,lying,-0.1819,-0.4281,10.0352,-0.0311,-0.019,0.0185,17.3163,4.9022,-39.2043,64.3675,36.2447
4,1,walking,0.0868,9.6156,-0.0085,0.1633,0.0304,0.1613,18.3994,4.8587,-39.4996,82.4968,36.9244
5,1,cycling,-0.1768,8.9423,0.1628,0.3282,0.2588,0.1891,20.1231,5.7339,-39.2043,121.8798,37.1215
6,1,walking,0.1753,9.4212,0.118,0.0611,0.0367,0.0307,22.5244,5.0416,-36.6502,93.4473,37.2137
7,1,lying,0.4866,-0.1579,10.2759,-0.0525,0.0499,0.1068,20.1453,2.0936,-39.0738,62.3477,36.6672
8,1,walking,0.3025,9.488,0.2262,0.2438,-0.0801,0.091,17.1626,7.0252,-39.7268,82.141,37.1606
9,1,sitting,-0.3362,9.9607,0.2911,0.0472,0.0471,0.0122,19.2382,6.3388,-36.5249,83.4425,36.2734
10,1,cycling,0.217,9.003,0.1656,0.3685,0.2227,0.2181,18.1193,4.7797,-39.9763,120.4716,37.6098
11,1,cycling,0.5554,9.1045,0.4889,0.2686,0.3532,0.1247,18.5431,3.9813,-39.2611,128.7935,37.1051
12,1,running,0.7819,8.8199,0.7103,0.4753,0.3361,0.4014,19.0743,2.3945,-40.8268,149.6916,37.5838
13,1,standing,-0.0788,9.7341,-0.2451,-0.0842,-0.0061,0.0337,18.0196,2.511,-42.2994,68.695,36.8584
14,1,standing,-0.0692,9.7641,-0.4119,0.0155,0.0094,0.0532,21.3805,4.363,-40.8547,72.3095,36.7717
15,1,running,1.572,9.1349,0.9718,0.5636,0.2457,0.4977,19.1404,5.8206,-38.1182,146.8549,37.5617
16,1,walking,0.6897,9.5819,0.1134,0.1535,-0.0173,0.13,24.1293,2.1851,-38.1822,96.2608,36.933
17,1,cycling,0.4423,9.2066,0.8303,0.3071,0.2314,0.1262,22.1054,4.8658,-35.8108,111.7947,37.0173
18,1,cycling,-0.0532,9.5982,0.5711,0.2742,0.241,0.1979,20.986,6.7133,-40.255,122.2333,37.5628
19,1,walking,0.8822,9.2803,0.1068,0.1625,0.0886,0.1333,19.1165,5.6646,-40.8338,80.4692,36.9605
20,1,standing,0.2705,10.2045,-0.0093,0.0155,-0.0216,-0.0147,20.6936,5.0551,-39.3317,66.6333,36.6708
21,1,lying,0.2199,0.4978,9.5345,-0.0508,0.0256,-0.0593,22.2723,1.9669,-42.9486,65.07,36.4559
22,1,walking,0.3332,9.4269,0.9971,0.0829,0.1347,0.0937,17.2385,9.0532,-35.0439,88.7908,36.8831
23,1,running,0.9263,9.2631,0.4266,0.5425,0.2716,0.2971,15.8263,6.1023,-41.329,150.584,37.5397
24,1,walking,0.5657,8.9718,0.4975,0.0671,0.1632,0.1574,18.8406,4.2521,-40.9235,97.3985,36.5717
25,1,standing,-0.3337,9.931,0.0781,-0.046,0.0831,0.0687,17.1983,5.8837,-42.7366,78.7985,36.4609
26,1,lying,0.4466,0.0306,9.4706,-0.0106,0.0558,0.0207,21.7207,-0.2954,-41.8895,69.4627,36.4813
27,1,cycling,-0.0093,9.2772,0.2716,0.2087,0.2478,0.2103,18.4305,4.0712,-38.4497,117.9668,37.2975
28,1,standing,0.4814,9.8888,-0.391,-0.0522,0.0117,0.0427,19.8233,7.3861,-41.4209,72.9727,36.6347
29,1,running,0.6559,8.7504,0.9262,0.495,0.3351,0.4007,19.4679,7.4899,-39.3107,151.0955,37.7338
30,1,sitting,0.3101,9.4679,0.0657,0.0284,-0.0229,-0.0199,20.2425,5.1127,-39.6848,70.5759,36.3857
31,1,standing,-0.1113,9.2548,0.1574,0.0963,0.0016,-0.0394,19.8077,7.16,-41.1601,73.3997,36.5356
32,1,lying,0.1633,0.1426,9.6772,0.0513,0.0283,0.0156,22.2531,5.8629,-37.1973,60.4642,36.2971
33,1,walking,0.4755,9.5693,0.3994,0.0703,0.0125,0.1264,19.7696,5.7608,-39.7919,89.3632,36.5823
34,1,walking,0.6643,9.439,0.0247,0.0827,0.1193,0.1395,22.0278,6.611,-40.084,93.3273,36.4763
35,1,sitting,0.4017,10.1057,-0.3525,0.0242,0.0632,0.0111,21.0902,3.1739,-39.9353,72.0457,36.4539
36,1,standing,0.4266,10.1932,0.3566,-0.0123,0.0399,0.0915,19.481,7.815,-42.0898,77.7411,36.619
37,1,running,1.4171,9.1497,0.7629,0.4752,0.3002,0.3649,22.807,3.2036,-40.5416,152.0083,37.4827
38,1,standing,0.0471,10.1358,0.2108,0.0278,-0.0597,-0.0188,18.4568,6.3604,-39.3008,79.1723,36.8128
39,1,standing,-0.383,10.1012,0.0681,0.0031,-0.0136,0.0561,17.1209,1.5043,-38.3251,71.5461,36.3377
40,1,walking,0.4698,9.9733,0.3828,0.0633,0.1271,0.1183,22.2648,2.6989,-42.5709,89.1906,37.0758
41,1,walking,0.5785,9.7686,0.0654,0.0688,0.1394,0.0882,17.9058,5.1183,-43.3964,88.6209,36.9753
42,1,lying,0.5534,0.4181,9.9909,0.0039,-0.0476,0.0317,17.978,6.0672,-38.4479,68.0359,36.2485
43,1,cycling,1.0708,9.3829,0.3581,0.355,0.0946,0.1697,18.7218,8.0828,-40.0967,116.5391,37.3079
44,1,sitting,0.1427,9.9993,-0.1487,0.0641,0.0282,-0.0256,21.328,5.1958,-39.8259,73.2406,36.3575
45,1,walking,0.9279,9.3572,-0.3758,0.0033,0.1398,0.1386,21.0658,4.6415,-38.8686,96.6085,36.9977
46,1,standing,-0.0659,9.6792,0.1546,-0.0066,-0.0269,0.045,20.6181,4.6362,-39.7625,77.3182,36.8041
47,1,walking,0.387,10.044,0.3269,0.0861,0.0182,-0.0014,22.9973,6.7759,-42.1158,84.3842,36.5863
48,1,lying,0.1407,-0.2077,9.6096,-0.0064,-0.0409,-0.0657,22.6709,4.5238,-41.2259,67.637,36.7706
49,1,cycling,0.3286,9.2251,0.343,0.3409,0.2108,0.1266,18.8438,4.8571,-41.7278,117.676,37.4161
50,1,walking,0.0507,9.5501,-0.5617,0.1262,-0.0098,0.1109,18.3995,5.0041,-41.197,89.5215,37.1575
51,1,standing,0.3351,9.685,0.3375,-0.0277,-0.039,0.0147,19.5876,1.4059,-45.5385,72.0087,37.114
52,1,running,1.5534,8.8238,0.915,0.5666,0.3116,0.2987,20.8961,3.6029,-42.3958,145.681,37.7932
53,1,walking,0.4638,9.8759,-0.0801,0.114,-0.0003,0.1149,18.5256,5.3713,-41.4306,89.7444,36.848
54,1,walking,0.2253,9.4656,0.5484,0.1032,-0.0544,0.0575,20.431,2.7296,-39.1632,91.7799,36.799
55,1,sitting,0.5211,9.8619,0.0488,-0.0606,-0.0035,0.0461,21.9311,7.6271,-43.7584,64.8716,36.6167
56,1,walking,-0.0853,9.763,0.4179,0.0889,0.0463,0.1375,20.7971,2.1762,-40.3854,90.224,36.4989
57,1,sitting,0.4573,9.9537,0.6934,0.0154,-0.0066,0.0308,22.0569,7.014,-42.0571,73.1985,36.6034
58,1,cycling,0.7547,9.5476,0.851,0.3476,0.2295,0.2954,19.0931,5.656,-41.07,123.8241,37.2936
59,1,sitting,-0.3045,9.7243,-0.2672,-0.0043,0.0226,-0.0314,20.0554,3.4549,-41.8174,70.8035,36.6748
60,1,lying,0.2923,0.0198,9.2727,-0.0097,0.0279,0.0217,20.7409,5.1009,-40.5183,58.2421,36.82
61,1,cycling,0.3157,8.6583,0.7565,0.3438,0.2297,0.1717,21.363,5.0707,-43.3938,124.0266,37.2212
62,1,running,1.3224,8.9159,0.7973,0.5274,0.2737,0.3847,18.392,4.5385,-40.7401,154.227,37.6785
63,1,walking,0.357,9.2692,0.3662,0.1855,-0.0186,0.1385,18.1648,5.4391,-38.6438,95.2966,36.3902
64,1,walking,0.8205,9.5084,-0.4099,0.1047,-0.0146,0.1205,17.3834,3.7284,-39.9507,86.7501,36.9531
65,1,running,1.1717,9.3379,1.0443,0.4217,0.258,0.4662,22.3424,3.9355,-40.9171,150.1346,37.3993
66,1,lying,0.1067,-0.4825,9.9807,0.0293,-0.0409,-0.032,18.4907,7.2172,-40.5693,65.4115,36.1218
67,1,walking,0.6764,9.8059,-0.2283,0.1257,0.0065,0.1002,18.972,1.9827,-39.8054,92.4501,37.0358
68,1,sitting,0.3444,10.0184,-0.6509,-0.0174,-0.0177,0.0184,18.3869,5.5568,-40.2364,71.6192,36.4626
69,1,lying,-0.011,0.1625,9.8671,-0.0121,0.0094,-0.0928,19.3284,4.8046,-43.3803,63.5061,36.46
70,1,cycling,0.4529,9.0224,0.7324,0.273,0.1662,0.1982,21.2286,6.7289,-41.0263,123.8317,37.067
71,1,running,1.1678,9.0604,0.7976,0.5147,0.2856,0.4571,19.7213,6.9391,-40.6002,151.447,37.798
72,1,cycling,0.4723,9.1506,0.4757,0.3238,0.2082,0.2041,20.1002,2.626,-40.4384,118.3182,37.382
